ID SEX TYPE WGT HUM RAD ULN FEMUR TIB TIN CAR D3P STL STB COR PEL MAX MIN SCA
K766 MALE   WILD       .   .   .   .   .   .   .   .   .   .   .   .   . 142 107 .
N399 MALE   WILD       . 153 138 153 139 246 162 810 307 196  74   .   . 145 104 .
NEX1 MALE   WILD       .   .   .   .   .   .   .   .   . 224  72   .   .   .   . .
NEX2 MALE   WILD       .   .   .   .   .   .   .   .   . 220  74   .   .   .   . .
NEX3 MALE   WILD       .   .   .   .   .   .   .   .   . 228  78   .   .   .   . .
NEB4 MALE   WILD       .   .   .   .   .   .   .   .   . 217  76   .   .   .   . .
NEB5 MALE   WILD       .   .   .   .   .   .   .   .   . 230  81   .   .   .   . .
NEB6 MALE   WILD       .   .   .   .   .   .   .   .   . 210  74   .   .   .   . .
NEB7 MALE   WILD       .   .   .   .   .   .   .   .   . 215  71   .   .   .   . .
NE16 MALE   WILD       .   .   .   .   .   .   .   .   . 204  69   .   .   .   . .
B396 MALE   WILD       .   .   .   . 140   .   .   .   .   .   . 107   .   .   . .
B457 MALE   WILD       .   .   .   . 143   . 151   .   .   .   . 108   .   .   . 132
B710 MALE   WILD       . 153 140 147 142   . 151 817 305   .   . 102   .   .   . 128
B790 MALE   WILD       . 156 137 151 146   . 155 814 305   .   . 111   .   .   . 137
B791 MALE   WILD       .   . 132 148 138   . 145 775   .   .   . 106   .   .   . 128
B795 MALE   WILD       . 151 134 151 144   .   . 789 292   .   . 116   .   .   . 126
B819 MALE   WILD       . 158 135 151 146   . 152 790 289   .   . 111   .   .   . 125
B081 MALE   WILD       .   . 135 149   .   . 149 789   .   .   . 111   .   .   . 123
B085 MALE   WILD       . 148 129 146 139   . 147 767 287   .   . 106   .   .   . 123
B089 MALE   WILD       . 157 140 154 140   . 159 818 301   .   . 116   .   .   . 136
B090 MALE   WILD       . 153 138 153 141   . 151 822 312   .   . 115   .   .   . 133
B091 MALE   WILD       . 156 138 156 145   . 150 835 310   .   . 118   .   .   . 133
B093 MALE   WILD       . 151 133 148 139   . 152 793 290   .   . 105   .   .   . .
B097 MALE   WILD       . 153 135 150 144   . 158 772 276   .   . 102   .   .   . 123
B099 MALE   WILD       . 152 140 151 144   . 158 792 303   .   . 111   .   .   . 122
B101 MALE   WILD       .   .   .   .   .   . 151 814 304   .   .   .   .   .   . .
B102 MALE   WILD       . 153   .   . 145   . 156   .   .   .   . 115   .   .   . 136
B103 MALE   WILD       . 149 133 149 139   . 151   .   .   .   . 107   .   .   . 132
B105 MALE   WILD       .   .   .   . 145   . 160   .   .   .   . 116   .   .   . 134
B106 MALE   WILD       . 147 130 144 136   . 145 765 289   .   . 108   .   .   . 131
B111 MALE   WILD       . 154 138 155 142   . 153 827 315   .   . 111   .   .   . 128
B114 MALE   WILD       . 154 138 154 138   . 155 802 287   .   . 111   .   .   . 132
B116 MALE   WILD       . 161 131 150 140   . 151 816 301   .   . 112   .   .   . 134
B117 MALE   WILD       .   . 142 159 146   . 156 824 298   .   . 113   .   .   . 136
L641 MALE   WILD       . 150   .   . 133 226 141   .   . 216  68 111 177 133  99 122
L690 MALE   WILD       . 140 126 137 123 218 141 770 290 150  64  95 145 128  87 118
L783 MALE   WILD       . 154   .   . 144 237 157   .   . 219  77 113 186 161 107 135
L902 MALE   WILD       .   . 126 145   .   .   . 790 300   .   .   .   .   .   . .
L905 MALE   WILD     240 169   .   . 154 255 163   .   . 241  76 122 207 141 101 143
K263 FEMALE WILD       .   .   .   .   .   .   .   .   . 172  54   .   . 110  80 .
K694 FEMALE WILD       .   .   .   .   .   .   .   .   .   .  57   .   . 119  83 .
K767 FEMALE WILD       .   .   .   .   .   .   .   .   . 128  51   .   . 103  85 .
NEB1 FEMALE WILD       .   .   .   .   .   .   .   .   . 188  59   .   .   .   . .
NEB2 FEMALE WILD       .   .   .   .   .   .   .   .   . 184  54   .   .   .   . .
B426 FEMALE WILD       . 123 108 122 112   . 122 647 241   .   .  84   .   .   . 106
B455 FEMALE WILD       . 126 109 123 117   . 123 682 260   .   .  86   .   .   . 111
B724 FEMALE WILD       . 126 112 126 117   . 128 660 243   .   .   .   .   .   . .
B821 FEMALE WILD       . 125 110 122 118   . 125 657 251   .   .  86   .   .   . 112
B845 FEMALE WILD       . 122 107 120 112   .   . 641   .   .   .  86   .   .   . 106
B893 FEMALE WILD       . 120 109 120 115   . 121 657 256   .   .  86   .   .   . 103
B086 FEMALE WILD       . 121 108 120 113   . 120 635   .   .   .  86   .   .   . 105
B112 FEMALE WILD       . 125 110 123 115   . 123 656 248   .   .  90   .   .   . 111
B122 FEMALE WILD       . 123 107 122 113   . 124 652 255   .   .  82   .   .   . 109
L782 FEMALE WILD       . 130   . 127 119 191 126   .   . 176  57  92   . 130  87 .
L790 FEMALE WILD       . 116 103 114 106 175 119   .   .   .   .   . 141 106  77 .
L637 MALE   DOMESTIC 200 153 137   . 140   .   . 820 300   .   . 104 166   .   . 130
L674 MALE   DOMESTIC 200 142 131 140 128 199 131 800 250 133  84  95 158 173 125 122
L678 MALE   DOMESTIC 215 148 130 145 133 216 141 800 290 145  84  98 163 180 134 124
L679 MALE   DOMESTIC 199 148 131 144 133 211 135 820 300 140  86 103 170 178 137 123
L682 MALE   DOMESTIC 190 145 131 140 129 215 136 790 300 134  86 100 159 182 129 123
L684 MALE   DOMESTIC 200 153 135 146 138 232 146 840 310 149  93 107 166 189 140 125
L695 MALE   DOMESTIC   . 149 132 147 131 218 139 810 300 131  83 102 160 178 130 126
L735 MALE   DOMESTIC   . 129 118 127   .   .   .   . 280   .   .  81   .   .   .  97
L746 MALE   DOMESTIC 215 143 129 141 130 200 137 800 300 138  84  97 163 186 138 121
L747 MALE   DOMESTIC 233 149 132 147 137 219 136 790 300 164  83 105 173 178 148 127
L748 MALE   DOMESTIC 204 145 130 145 132 215 136 760 280 145  85  97 162 178 129 123
L749 MALE   DOMESTIC 203 148 135 145 135 212 145 840 310   .   . 100   . 182 129 124
L750 MALE   DOMESTIC 220 149 130 147 140 225 147 770 300 155  88 104 166 184 141 126
L753 MALE   DOMESTIC   . 141 127 136 126 197 131 830 310   .   .  97   . 168 119 120
